Facility,Total_traffic
ABE,"45,914"
ABI,"32,032"
ABQ,"120,483"
ABY,"14,353"
ACK,"97,283"
ACT,"33,135"
ACY,"45,550"
ADM,"12,423"
ADQ,"24,193"
ADS,"95,120"
ADW,"30,987"
AEG,"25,486"
AEX,"15,983"
AFW,"62,683"
AGC,"49,272"
AGS,"25,072"
AHN,"24,068"
AKN,"23,480"
ALB,"64,911"
ALN,"15,889"
ALO,"12,676"
ALW,"13,448"
AMA,"38,213"
ANC,"265,119"
ANE,"37,095"
APA,"172,073"
APC,"33,022"
APF,"76,274"
ARA,"26,580"
ARB,"24,845"
ARR,"24,059"
ASE,"36,647"
ASG,"18,278"
ASH,"26,900"
ATL,"879,498"
ATW,"26,126"
AUS,"196,739"
AVL,"49,244"
AVP,"30,785"
AZO,"26,163"
BAF,"23,040"
BAK,"27,830"
BAZ,"25,265"
BBG,"5,572"
BCT,"46,241"
BDL,"94,402"
BDR,"23,770"
BED,"82,550"
BET,"76,936"
BFI,"130,171"
BFL,"44,924"
BFM,"27,515"
BGM,"9,288"
BGR,"38,217"
BHM,"93,713"
BIL,"65,538"
BIS,"39,829"
BJC,"73,113"
BKL,"26,773"
BKV,"26,052"
BLI,"54,850"
BMG,"17,732"
BMI,"18,735"
BNA,"205,794"
BOI,"103,754"
BOS,"405,822"
BPT,"14,998"
BQN,"25,866"
BRO,"21,906"
BTL,"36,186"
BTR,"49,020"
BTV,"52,448"
BUF,"80,172"
BUR,"109,621"
BVY,"27,166"
BWI,"261,702"
BZN,"49,072"
CAE,"49,532"
CAK,"52,818"
CCR,"53,643"
CDW,"44,078"
CGF,"14,924"
CHA,"53,204"
CHD,"74,769"
CHO,"52,103"
CHS,"102,538"
CIC,"29,860"
CID,"40,709"
CKB,"10,898"
CLE,"122,392"
CLL,"36,308"
CLT,"553,817"
CMA,"77,239"
CMH,"129,439"
CMI,"22,600"
CNO,"72,099"
CNW,"25,359"
COS,"70,556"
COU,"16,337"
CPR,"25,875"
CPS,"38,101"
CRE,"23,160"
CRG,"66,748"
CRP,"60,696"
CRQ,"95,322"
CRW,"31,284"
CSG,"15,087"
CVG,"150,463"
CWA,"11,505"
CWF,"14,526"
CXO,"40,125"
CXY,"15,585"
CYS,"11,166"
DAB,"165,996"
DAL,"227,533"
DAY,"49,766"
DBQ,"25,437"
DCA,"299,360"
DEC,"19,110"
DEN,"582,486"
DET,"19,075"
DFW,"654,344"
DHN,"38,454"
DLH,"37,374"
DPA,"46,996"
DSM,"65,048"
DTN,"21,565"
DTO,"62,610"
DTS,"1,542"
DTW,"395,357"
DVT,"136,627"
DWH,"59,530"
DXR,"28,725"
EAU,"16,143"
ECP,"44,259"
EGE,"30,605"
ELM,"12,939"
ELP,"74,899"
EMT,"35,193"
ENA,"30,654"
ENW,"25,932"
ERI,"15,524"
ESN,"27,600"
EUG,"40,925"
EVB,"53,799"
EVV,"25,453"
EWB,"27,504"
EWN,"24,127"
EWR,"443,649"
EYW,"47,940"
FAI,"82,144"
FAR,"55,499"
FAT,"75,354"
FAY,"24,297"
FCM,"51,942"
FDK,"36,936"
FFZ,"121,124"
FIN,"35,850"
FLG,"34,132"
FLL,"312,763"
FLO,"12,824"
FMN,"19,311"
FMY,"54,403"
FNT,"27,428"
FOE,"8,740"
FOK,"33,113"
FPR,"79,662"
FRG,"107,288"
FSD,"64,230"
FSM,"25,156"
FTG,"32,672"
FTW,"81,674"
FTY,"30,031"
FUL,"42,404"
FWA,"32,398"
FWS,"25,301"
FXE,"137,909"
FYV,"14,315"
GCK,"13,988"
GCN,"107,345"
GEG,"57,826"
GEU,"25,485"
GFK,"119,556"
GGG,"26,322"
GJT,"35,170"
GKY,"41,553"
GLH,"7,137"
GLS,"23,576"
GMU,"37,340"
GNV,"47,357"
GON,"29,452"
GPI,"21,509"
GPM,"33,421"
GPT,"39,240"
GRB,"34,494"
GRI,"10,792"
GRR,"67,900"
GSN,"112,600"
GSO,"74,753"
GSP,"44,828"
GTF,"25,787"
GTR,"29,272"
GTU,"48,980"
GUM,"57,379"
GYH,"19,939"
GYR,"48,229"
GYY,"16,954"
HEF,"46,531"
HFD,"25,983"
HGR,"32,088"
HHR,"50,699"
HIO,"82,562"
HKS,"12,791"
HKY,"17,134"
HLG,"14,888"
HLN,"27,847"
HND,"65,800"
HNL,"311,757"
HOB,"7,076"
HOU,"202,850"
HPN,"151,048"
HQZ,"31,118"
HRL,"20,859"
HSA,"20,272"
HSV,"46,026"
HTS,"10,676"
HUF,"23,373"
HUM,"52,035"
HUT,"12,311"
HVN,"16,829"
HWD,"44,214"
HWO,"74,642"
HXD,"27,000"
HYA,"73,482"
HYI,"39,520"
IAD,"294,066"
IAG,"13,628"
IAH,"450,323"
ICT,"95,197"
IDA,"22,432"
IFP,"9,453"
ILG,"28,852"
ILM,"47,825"
IND,"160,122"
INT,"31,338"
IPT,"13,125"
ISM,"58,225"
ISO,"10,392"
ISP,"66,421"
ITH,"15,828"
ITO,"78,256"
IWA,"119,603"
IXD,"28,181"
JAC,"27,232"
JAN,"35,728"
JAX,"88,507"
JEF,"18,422"
JFK,"453,335"
JLN,"14,284"
JNU,"81,983"
JQF,"44,768"
JRF,"20,306"
JVL,"18,470"
JXN,"19,942"
KOA,"77,684"
LAF,"40,734"
LAL,"65,346"
LAN,"30,730"
LAS,"542,994"
LAW,"23,165"
LAX,"700,362"
LBB,"60,601"
LBE,"18,639"
LCH,"17,236"
LEB,"23,259"
LEE,"31,958"
LEX,"64,990"
LFT,"38,395"
LGA,"366,018"
LGB,"146,900"
LIH,"114,874"
LIT,"76,856"
LMT,"26,270"
LNK,"42,597"
LNS,"47,921"
LOU,"44,412"
LRD,"34,675"
LSE,"13,633"
LUK,"54,385"
LVK,"55,522"
LWB,"16,097"
LWM,"21,667"
LWS,"19,818"
LYH,"43,311"
LZU,"49,064"
MAF,"50,336"
MBS,"17,091"
MCI,"123,104"
MCN,"12,211"
MCO,"338,270"
MDH,"28,908"
MDT,"42,263"
MDW,"251,341"
MEI,"37,484"
MEM,"223,177"
MER,"12,199"
MFD,"12,490"
MFE,"43,715"
MFR,"33,824"
MGM,"45,586"
MGW,"35,745"
MHK,"12,984"
MHR,"66,232"
MHT,"48,840"
MIA,"413,287"
MIC,"18,826"
MIE,"20,769"
MKC,"59,649"
MKE,"111,257"
MKG,"16,175"
MKK,"36,775"
MKL,"12,533"
MLB,"65,106"
MLI,"25,938"
MLU,"26,199"
MMU,"50,931"
MOB,"54,793"
MOD,"33,571"
MOT,"17,140"
MQY,"41,436"
MRI,"69,186"
MRY,"55,541"
MSN,"65,064"
MSO,"28,578"
MSP,"415,703"
MSY,"133,076"
MTN,"44,593"
MVY,"34,349"
MWA,"17,472"
MWC,"13,112"
MWH,"31,457"
MYF,"106,287"
MYR,"115,307"
NEW,"42,336"
NQA,"15,847"
OAK,"197,261"
OCF,"41,879"
OGD,"43,191"
OGG,"138,819"
OJC,"22,409"
OKC,"101,337"
OLM,"21,808"
OLV,"29,269"
OMA,"89,483"
OMN,"57,997"
ONT,"91,105"
OPF,"94,596"
ORD,"867,049"
ORF,"71,867"
ORH,"19,347"
ORL,"61,315"
OSH,"39,954"
OSU,"50,164"
OTH,"10,910"
OUN,"28,274"
OWB,"12,973"
OWD,"42,811"
OXC,"25,321"
OXR,"30,182"
PAE,"53,864"
PAH,"18,260"
PAO,"53,270"
PBI,"140,383"
PDK,"117,203"
PDT,"9,556"
PDX,"227,636"
PGD,"46,912"
PHF,"39,643"
PHL,"369,928"
PHX,"430,968"
PIA,"32,091"
PIE,"70,069"
PIH,"16,314"
PIT,"148,430"
PKB,"16,746"
PMD,"11,638"
PMP,"52,728"
PNE,"40,958"
PNS,"73,262"
POC,"39,410"
POU,"27,827"
PRC,"78,481"
PSC,"28,424"
PSP,"48,625"
PTK,"69,405"
PUB,"80,992"
PVD,"60,175"
PVU,"34,890"
PWA,"36,964"
PWK,"56,341"
PWM,"48,899"
RAL,"46,944"
RAP,"35,202"
RBD,"27,109"
RDD,"50,447"
RDG,"31,126"
RDM,"26,425"
RDU,"199,837"
RFD,"30,038"
RHV,"72,577"
RIC,"89,790"
RME,"10,552"
RNM,"32,609"
RNO,"80,277"
RNT,"54,245"
ROA,"36,508"
ROC,"66,859"
ROG,"11,490"
ROW,"18,215"
RST,"28,687"
RSW,"82,561"
RVS,"76,473"
RYN,"37,594"
RYY,"36,483"
SAC,"73,547"
SAF,"35,797"
SAN,"209,563"
SAT,"160,776"
SAV,"86,963"
SAW,"11,985"
SBA,"68,518"
SBN,"30,940"
SBP,"49,067"
SBY,"22,050"
SCK,"36,390"
SDF,"162,883"
SDL,"108,701"
SDM,"37,144"
SEA,"416,124"
SEE,"80,964"
SFB,"133,703"
SFF,"29,139"
SFO,"460,346"
SGF,"45,318"
SGJ,"67,638"
SGR,"46,483"
SHV,"35,295"
SIG,"57,497"
SJC,"174,149"
SJT,"37,631"
SJU,"141,901"
SLC,"324,501"
SLE,"24,379"
SLN,"30,194"
SMF,"117,059"
SMO,"59,520"
SMX,"26,093"
SNA,"211,009"
SNS,"41,078"
SPG,"45,414"
SPI,"20,215"
SQL,"57,575"
SRQ,"76,288"
SSF,"34,091"
STC,"14,868"
STJ,"11,891"
STL,"196,348"
STP,"30,103"
STS,"56,987"
STT,"49,251"
STX,"25,284"
SUA,"66,553"
SUN,"23,958"
SUS,"62,455"
SUX,"14,350"
SWF,"34,472"
SWO,"33,582"
SYR,"59,884"
TCL,"25,722"
TEB,"178,363"
TIW,"46,740"
TIX,"31,888"
TKI,"42,960"
TLH,"52,678"
TMB,"171,948"
TOA,"56,582"
TOL,"23,728"
TOP,"14,555"
TPA,"195,413"
TRI,"27,213"
TTD,"31,486"
TTN,"53,956"
TUL,"84,701"
TUP,"35,565"
TUS,"101,602"
TVC,"43,540"
TWF,"20,149"
TXK,"16,390"
TYR,"28,660"
TYS,"88,246"
TZR,"9,780"
UAO,"34,641"
UES,"26,298"
UGN,"28,433"
UNV,"22,348"
VCT,"20,466"
VCV,"15,840"
VGT,"79,233"
VNY,"151,518"
VQQ,"25,539"
VRB,"103,424"
WDG,"20,784"
WHP,"42,528"
WJF,"26,441"
XNA,"41,909"
YIP,"34,063"
YKM,"22,099"
YNG,"17,149"
