Facility,Total
ABE,"45,914"
ABI,"32,032"
ABQ,"120,483"
ACK,"97,283"
ACT,"33,135"
ACY,"45,550"
ADS,"95,120"
ADW,"30,987"
AFW,"62,683"
AGC,"49,272"
AGS,"25,072"
ALB,"64,911"
ALO,"12,676"
AMA,"38,213"
ANC,"265,119"
APA,"172,073"
APC,"33,022"
ARB,"24,845"
ARR,"24,059"
ASE,"36,647"
ATL,"879,498"
AUS,"196,739"
AVL,"49,244"
AVP,"30,785"
AZO,"26,163"
BDL,"94,402"
BED,"82,550"
BFI,"130,171"
BFL,"44,924"
BGM,"9,288"
BGR,"38,217"
BHM,"93,713"
BIL,"65,538"
BIS,"39,829"
BJC,"73,113"
BNA,"205,794"
BOI,"103,754"
BOS,"405,822"
BPT,"14,998"
BTR,"49,020"
BTV,"52,448"
BUF,"80,172"
BUR,"109,621"
BWI,"261,702"
CAE,"49,532"
CAK,"52,818"
CCR,"53,643"
CDW,"44,078"
CHA,"53,204"
CHS,"102,538"
CID,"40,709"
CKB,"10,898"
CLE,"122,392"
CLT,"553,817"
CMA,"77,239"
CMH,"129,439"
CMI,"22,600"
CNO,"72,099"
COS,"70,556"
CPR,"25,875"
CPS,"38,101"
CRP,"60,696"
CRQ,"95,322"
CRW,"31,284"
CSG,"15,087"
CVG,"150,463"
DAB,"165,996"
DAL,"227,533"
DAY,"49,766"
DCA,"299,360"
DEN,"582,486"
DFW,"654,344"
DLH,"37,374"
DPA,"46,996"
DSM,"65,048"
DTW,"395,357"
DVT,"136,627"
DWH,"59,530"
ELM,"12,939"
ELP,"74,899"
EMT,"35,193"
ERI,"15,524"
EUG,"40,925"
EVV,"25,453"
EWR,"443,649"
FAI,"82,144"
FAR,"55,499"
FAT,"75,354"
FAY,"24,297"
FCM,"51,942"
FFZ,"121,124"
FLL,"312,763"
FLO,"12,824"
FNT,"27,428"
FPR,"79,662"
FRG,"107,288"
FSD,"64,230"
FSM,"25,156"
FTW,"81,674"
FWA,"32,398"
FXE,"137,909"
GCN,"107,345"
GEG,"57,826"
GFK,"119,556"
GGG,"26,322"
GPT,"39,240"
GRB,"34,494"
GRR,"67,900"
GSO,"74,753"
GSP,"44,828"
GTF,"25,787"
HEF,"46,531"
HIO,"82,562"
HLN,"27,847"
HNL,"311,757"
HOU,"202,850"
HPN,"151,048"
HSV,"46,026"
HTS,"10,676"
HUF,"23,373"
HWD,"44,214"
IAD,"294,066"
IAH,"450,323"
ICT,"95,197"
ILG,"28,852"
ILM,"47,825"
IND,"160,122"
ISP,"66,421"
ITO,"78,256"
JAN,"35,728"
JAX,"88,507"
JFK,"453,335"
JNU,"81,983"
LAF,"40,734"
LAN,"30,730"
LAS,"542,994"
LAX,"700,362"
LBB,"60,601"
LCH,"17,236"
LEX,"64,990"
LFT,"38,395"
LGA,"366,018"
LGB,"146,900"
LIT,"76,856"
LNK,"42,597"
LOU,"44,412"
LVK,"55,522"
MAF,"50,336"
MBS,"17,091"
MCI,"123,104"
MCO,"338,270"
MDT,"42,263"
MDW,"251,341"
MEM,"223,177"
MFD,"12,490"
MGM,"45,586"
MHT,"48,840"
MIA,"413,287"
MIC,"18,826"
MKC,"59,649"
MKE,"111,257"
MKG,"16,175"
MLI,"25,938"
MLU,"26,199"
MMU,"50,931"
MOB,"54,793"
MRI,"69,186"
MRY,"55,541"
MSN,"65,064"
MSP,"415,703"
MSY,"133,076"
MWH,"31,457"
MYF,"106,287"
MYR,"115,307"
NEW,"42,336"
OAK,"197,261"
OGG,"138,819"
OKC,"101,337"
OMA,"89,483"
ONT,"91,105"
ORD,"867,049"
ORF,"71,867"
ORL,"61,315"
PAE,"53,864"
PAO,"53,270"
PBI,"140,383"
PDK,"117,203"
PDX,"227,636"
PHF,"39,643"
PHL,"369,928"
PHX,"430,968"
PIA,"32,091"
PIE,"70,069"
PIT,"148,430"
PNE,"40,958"
PNS,"73,262"
POC,"39,410"
POU,"27,827"
PRC,"78,481"
PSC,"28,424"
PSP,"48,625"
PTK,"69,405"
PUB,"80,992"
PVD,"60,175"
PWK,"56,341"
PWM,"48,899"
RDG,"31,126"
RDU,"199,837"
RFD,"30,038"
RHV,"72,577"
RIC,"89,790"
RNO,"80,277"
ROA,"36,508"
ROC,"66,859"
ROW,"18,215"
RST,"28,687"
RSW,"82,561"
RVS,"76,473"
SAN,"209,563"
SAT,"160,776"
SAV,"86,963"
SBA,"68,518"
SBN,"30,940"
SCK,"36,390"
SDF,"162,883"
SDL,"108,701"
SEA,"416,124"
SEE,"80,964"
SFB,"133,703"
SFO,"460,346"
SGF,"45,318"
SHV,"35,295"
SJC,"174,149"
SJU,"141,901"
SLC,"324,501"
SMF,"117,059"
SMO,"59,520"
SNA,"211,009"
SPI,"20,215"
SRQ,"76,288"
STL,"196,348"
STP,"30,103"
STS,"56,987"
STT,"49,251"
SUS,"62,455"
SUX,"14,350"
SYR,"59,884"
TEB,"178,363"
TLH,"52,678"
TMB,"171,948"
TOA,"56,582"
TOL,"23,728"
TPA,"195,413"
TRI,"27,213"
TUL,"84,701"
TUS,"101,602"
TVC,"43,540"
TWF,"20,149"
TYS,"88,246"
VGT,"79,233"
VNY,"151,518"
VRB,"103,424"
YIP,"34,063"
YNG,"17,149"
